Mark;Site;Longit_d;Latit_d;Altit_d;X_m;Y_m;Z_m;Country;Section
NUR4;NURT;70.03899;41.52627;1732.694;1632940.626;4495983.939;4207504.398;Uzbekistan;
OBOB;OBOB;75.84927;41.43299;2092.954;1171144.856;4645112.750;4199980.611;Kyrgyzstan;
OBO5;OBOB;75.84925;41.43301;2092.857;1171146.061;4645110.754;4199982.324;Kyrgyzstan;
OBO4;OBOB;75.84929;41.43301;2093.914;1171143.381;4645112.746;4199982.475;Kyrgyzstan;
OGI4;OGIN;74.54938;42.04027;2182.773;1264272.260;4574120.704;4250388.655;Kyrgyzstan;
OGIN;OGIN;74.54946;42.04033;2183.666;1264264.002;4574118.757;4250394.454;Kyrgyzstan;
OKT1;OKTO;67.66979;40.29045;334.449;1851148.942;4506801.889;4102857.482;Uzbekistan;
ONA7;ONAR;75.98262;41.57680;2531.992;1157846.098;4637872.301;4212236.814;Kyrgyzstan;
ONA4;ONAR;75.98262;41.57681;2533.025;1157846.123;4637872.066;4212238.628;Kyrgyzstan;
ONA5;ONAR;75.98259;41.57683;2533.498;1157847.578;4637870.400;4212240.758;Kyrgyzstan;
OREL;OREL;74.68314;42.72109;1274.631;1239943.676;4527235.484;4305654.719;Kyrgyzstan;
ORG4;ORGO;77.91910;42.43987;1662.724;986898.183;4610962.298;4282909.477;Kyrgyzstan;
ORGO;ORGO;77.91843;42.44018;1667.933;986947.872;4610931.523;4282938.785;Kyrgyzstan;
OSHK;OSHK;72.77749;40.52993;1013.307;1437616.241;4637737.999;4123545.425;Kyrgyzstan;
OSHQ;OSHQ;72.74304;40.52200;974.287;1440565.912;4637390.969;4122850.504;Kyrgyzstan;
OSH5;OSHQ;72.74306;40.52203;974.239;1440563.983;4637389.819;4122852.343;Kyrgyzstan;
OSH6;OSHQ;72.74306;40.52203;974.125;1440563.676;4637389.233;4122852.933;Kyrgyzstan;
OSH4;OSHQ;72.74308;40.52203;974.383;1440562.383;4637390.320;4122852.555;Kyrgyzstan;
OTM6;OTMK;73.20089;42.23492;2838.714;1367512.676;4529675.161;4266867.427;Kyrgyzstan;
OTM4;OTMK;73.20090;42.23492;2839.435;1367512.888;4529675.840;4266867.645;Kyrgyzstan;
OTM5;OTMK;73.20090;42.23492;2839.435;1367512.749;4529674.401;4266868.391;Kyrgyzstan;
OTMK;OTMK;73.20090;42.23492;2839.435;1367521.741;4529668.274;4266867.305;Kyrgyzstan;
OYL4;OYLD;81.90672;48.27117;691.685;598860.822;4211356.957;4737515.025;Kazakhstan;
OYLD;OYLD;81.90676;48.27117;691.662;598858.162;4211357.515;4737514.837;Kazakhstan;
OYL5;OYLD;81.90677;48.27119;691.511;598857.161;4211355.471;4737516.566;Kazakhstan;
OYTL;OYTL;74.07544;40.43548;1827.185;1334234.347;4676256.995;4116094.442;Kyrgyzstan;
OYT6;OYTL;74.07546;40.43549;1827.249;1334233.127;4676256.528;4116095.407;Kyrgyzstan;
OYT5;OYTL;74.07546;40.43551;1827.195;1334232.577;4676255.511;4116096.646;Kyrgyzstan;
OYT4;OYTL;74.07548;40.43551;1827.246;1334231.058;4676255.985;4116096.673;Kyrgyzstan;
PAK5;PAKB;75.13007;40.84828;3034.228;1240508.803;4672039.790;4151676.664;Kyrgyzstan;
PAK4;PAKB;75.13009;40.84828;3034.293;1240507.086;4672039.947;4151677.109;Kyrgyzstan;
PAKB;PAKB;75.13010;40.84828;3033.900;1240506.039;4672039.977;4151676.823;Kyrgyzstan;
PAK6;PAKB;75.13012;40.84829;3033.707;1240504.484;4672039.196;4151677.823;Kyrgyzstan;
PAN0;PAN0;80.04027;43.99381;486.644;794959.087;4527035.876;4407934.724;Kazakhstan;
PCH4;PCHA;79.06020;42.39595;3702.541;895786.855;4634412.064;4280682.497;Kyrgyzstan;
PCHA;PCHA;79.06025;42.39599;3701.991;895781.604;4634409.192;4280685.852;Kyrgyzstan;
PDB4;PDB4;80.22776;43.75590;497.221;783252.027;4547677.082;4388885.501;Kazakhstan;
PGCH;PGCH;87.63042;43.91182;635.860;190301.124;4598799.062;4401479.358;China;
PKK5;PKKL;74.84433;42.35258;3453.480;1234859.641;4558977.344;4276953.387;Kyrgyzstan;
PKK4;PKKL;74.84443;42.35266;3453.437;1234850.071;4558973.422;4276960.223;Kyrgyzstan;
PKKL;PKKL;74.84466;42.35273;3454.189;1234830.514;4558973.692;4276966.663;Kyrgyzstan;
PKU4;PKUM;79.12806;43.95105;501.566;867553.940;4517056.508;4404525.614;Kazakhstan;
PKZ4;PKZA;78.07594;43.20811;2892.649;962467.615;4557748.798;4346362.221;Kazakhstan;
PODG;PODG;79.48491;43.32751;1287.110;848234.653;4569944.452;4354924.404;Kazakhstan;
POKY;POKY;74.45867;42.14808;2946.040;1269511.714;4564922.133;4259789.884;Kyrgyzstan;
POK1;POKY;74.45867;42.14812;2947.013;1269509.928;4564917.354;4259796.909;Kyrgyzstan;
POK2;POKY;74.45867;42.14812;2947.013;1269512.513;4564917.709;4259795.181;Kyrgyzstan;
POK4;POKY;74.45867;42.14812;2947.013;1269511.226;4564919.997;4259793.754;Kyrgyzstan;
POK5;POKY;74.45867;42.14816;2947.072;1269510.109;4564917.458;4259796.874;Kyrgyzstan;
POL1;POL1;74.69273;42.67830;1694.041;1240118.180;4530849.735;4302445.324;Kyrgyzstan;
POL2;POL2;74.69427;42.67977;1714.205;1239972.061;4530789.786;4302578.664;Kyrgyzstan;_GPS - _4PS
POL3;POL3;74.68631;42.68504;1561.788;1240466.552;4530126.862;4302905.877;Kyrgyzstan;
POL7;POL7;74.68320;42.68294;1530.784;1240747.635;4530189.864;4302713.751;Kyrgyzstan;
POL9;POL9;74.68859;42.68217;1604.229;1240351.170;4530414.599;4302700.592;Kyrgyzstan;
POLY;POLY;74.69075;42.68022;1686.758;1240237.057;4530662.174;4302597.454;Kyrgyzstan;
PPR4;PPR4;78.29223;42.54720;1721.968;955222.787;4609445.458;4291743.364;Kyrgyzstan;
PSB4;PSBL;76.07162;42.19065;2666.043;1139702.422;4595563.603;4263107.818;Kyrgyzstan;
PSBL;PSBL;76.07156;42.19068;2665.645;1139706.791;4595560.130;4263109.788;Kyrgyzstan;
PSB5;PSBL;76.07158;42.19068;2665.764;1139705.388;4595560.513;4263109.913;Kyrgyzstan;
PSEK;PSEK;82.59837;50.35661;397.056;525299.147;4043674.678;4888497.358;Kazakhstan;
PSE4;PSEK;82.59830;50.35666;397.438;525303.337;4043669.722;4888501.456;Kazakhstan;
PSE5;PSEK;82.59839;50.35667;397.886;525297.004;4043670.358;4888502.193;Kazakhstan;
PSH4;PSH4;78.92575;42.72085;2144.879;901748.201;4607204.576;4306225.850;Kyrgyzstan;
PSM4;PSKM;70.31656;41.85995;1157.080;1602691.208;4480222.364;4234801.110;Kazakhstan;
PTOK;PTOK;78.86072;42.61995;1954.563;908416.927;4613497.410;4297852.741;Kyrgyzstan;
PTO4;PTOK;78.86084;42.62001;1954.930;908406.919;4613495.010;4297857.963;Kyrgyzstan;
PTU6;PTUZ;75.08753;40.57813;3466.712;1249099.585;4690352.850;4129207.930;Kyrgyzstan;
PTU5;PTUZ;75.08749;40.57817;3468.264;1249102.265;4690349.941;4129212.809;Kyrgyzstan;
PTUZ;PTUZ;75.08752;40.57819;3468.370;1249099.698;4690349.727;4129214.050;Kyrgyzstan;
PTU4;PTUZ;75.08758;40.57821;3468.519;1249094.827;4690349.434;4129216.010;Kyrgyzstan;
PUR4;PURB;73.62733;41.28815;2947.475;1353536.092;4607032.368;4188466.796;Kyrgyzstan;
PURB;PURB;73.62730;41.28817;2947.307;1353538.416;4607030.514;4188467.874;Kyrgyzstan;
QIAK;QIAK;75.40412;40.09416;2604.281;1231768.645;4730224.471;4087666.478;China;
QIMO;QIMO;85.53844;38.08073;1220.199;391119.144;5012632.090;3913254.081;China;
QIQI;QIQI;76.97792;40.84425;2830.742;1089242.769;4709746.373;4151204.789;China;
RCKD;RCKD;75.40733;42.14487;2134.838;1193667.103;4584964.598;4258981.235;Kyrgyzstan;
RCK5;RCKD;75.40742;42.14494;2134.313;1193658.814;4584961.565;4258986.003;Kyrgyzstan;
RCK4;RCKD;75.40735;42.14495;2134.912;1193663.986;4584959.391;4258987.780;Kyrgyzstan;
RGA4;RGAI;75.19523;43.17401;1367.969;1190687.437;4505051.684;4342556.104;Kazakhstan;
RKA4;RKAI;79.14195;41.96372;2509.547;895082.293;4666492.817;4244286.266;Kyrgyzstan;
RKRK;RKRK;74.74208;41.72598;2633.883;1255104.598;4601163.269;4224690.516;Kazakhstan;
RKR1;RKRK;74.74211;41.72601;2633.730;1255109.437;4601156.989;4224691.219;Kazakhstan;
RKR4;RKRK;74.74211;41.72601;2633.730;1255101.576;4601162.017;4224692.475;Kazakhstan;
RKR5;RKRK;74.74212;41.72601;2633.447;1255100.599;4601162.063;4224692.289;Kazakhstan;
RKTS;RKTS;79.06579;42.12103;2579.305;899073.285;4653856.381;4257314.510;Kyrgyzstan;
RKT4;RKTS;79.06584;42.12103;2579.364;899070.223;4653857.045;4257314.538;Kyrgyzstan;
RSON;RSON;75.37027;41.75986;3004.212;1204020.707;4612489.632;4227745.763;Kyrgyzstan;
RSO5;RSON;75.37032;41.75987;3005.462;1204016.450;4612490.849;4227747.367;Kyrgyzstan;
RSO4;RSON;75.37032;41.75988;3005.412;1204015.666;4612490.663;4227747.739;Kyrgyzstan;
