Mark;Site;Longit_d;Latit_d;Altit_m;X_m;Y_m;Z_m;Country
BOM5;BOM4;77.03239;42.13882;1657.52071;1063184.98;4617066.241;4258162.385;Kyrgyzstan
BOR4;KETM;73.23485;41.6479;1700.1446;1377158.686;4571414.548;4217591.005;Kyrgyzstan
BORD;KETM;73.23488;41.64788;1699.89808;1377156.276;4571416.649;4217589.274;Kyrgyzstan
BORL;BORL;83.98372;49.03812;350.78704;439102.7185;4166389.532;4793603.871;Kazakhstan
BOS4;BOS4;68.95541;41.1318;281.71554;1727670.506;4490284.98;4173646.947;Uzbekistan
BOZ4;BOZB;71.7923;41.49511;1398.77858;1495255.032;4545781.699;4204691.593;Kyrgyzstan
BOZ5;BOZB;71.7923;41.49516;1397.96622;1495252.798;4545777.788;4204695.622;Kyrgyzstan
BOZB;BOZB;71.79226;41.49516;1398.08897;1495256.793;4545776.853;4204695.198;Kyrgyzstan
BOZO;BOZO;77.13946;42.7232;2202.99176;1044894.615;4576726.017;4306457.466;Kyrgyzstan
BOZT;BOZT;77.15406;42.66733;1763.06157;1044591.383;4580782.155;4301595.68;Kyrgyzstan
BRK4;BRK4;68.63835;41.32314;261.96324;1747385.178;4467600.955;4189614.239;Kazakhstan
BRL4;BRLD;70.52015;42.56875;1296.39245;1569151.641;4436102.77;4293219.138;Kazakhstan
BRL5;BRLD;70.52006;42.56873;1295.85498;1569158.655;4436101.467;4293217.148;Kazakhstan
BRL6;BRLD;70.52007;42.5687;1295.66368;1569158.739;4436103.659;4293214.591;Kazakhstan
BRLD;BRLD;70.52012;42.56874;1296.26908;1569154.288;4436102.176;4293217.817;Kazakhstan
BRT4;BRT4;76.96619;42.14382;1878.83622;1068472.001;4615631.297;4258722.952;Kyrgyzstan
BRT5;BRT4;76.96622;42.14379;1878.79765;1068469.764;4615634.131;4258720.404;Kyrgyzstan
BTK4;BTKN;70.76457;40.04842;1093.62959;1611042.007;4617087.834;4082805.857;Kyrgyzstan
BTK5;BTKN;70.76461;40.04834;1094.63325;1611041.559;4617094.853;4082799.708;Kyrgyzstan
BTKN;BTKN;70.76458;40.04836;1093.85325;1611042.736;4617091.72;4082801.554;Kyrgyzstan
BTR4;BTRK;75.01994;41.18572;2157.65539;1242955.861;4645239.906;4179388.255;Kyrgyzstan
BTR5;BTRK;75.01989;41.18577;2156.62585;1242959.289;4645234.66;4179391.472;Kyrgyzstan
BTR6;BTRK;75.02008;41.18566;2159.90975;1242946.161;4645248.827;4179384.694;Kyrgyzstan
BTRK;BTRK;75.01993;41.18572;2157.34128;1242956.525;4645239.478;4179388.111;Kyrgyzstan
BULU;I090;74.95093;38.66239;3270.57614;1295474.443;4818264.614;3965164.183;China
BUR4;BURK;79.05316;42.26063;2844.51787;898158.4448;4643621.998;4268986.345;Kyrgyzstan
BURK;BURK;79.05314;42.26062;2843.87222;898159.7099;4643622.248;4268984.788;Kyrgyzstan
BUS4;BUS4;69.5774;41.3033;512.38268;1674505.021;4497177.514;4188125.057;Uzbekiston
BUS5;BUS4;69.57736;41.3033;512.24183;1674508.436;4497176.208;4188124.879;Uzbekiston
BUY4;BUYG;73.79536;40.48872;1695.85369;1355978.484;4665898.225;4120508.1;Kyrgyzstan
BUY5;BUYG;73.79535;40.48867;1694.07799;1355980.277;4665899.96;4120502.805;Kyrgyzstan
BUZ4;BUZU;76.4323;42.81076;2166.48564;1099743.343;4557032.399;4313575.593;Kyrgyzstan
BUZU;BUZU;76.43238;42.81082;2165.00162;1099735.592;4557028.786;4313579.168;Kyrgyzstan
BYS4;BYST;75.72915;42.74852;1322.07166;1156589.417;4547145.028;4307925.733;Kyrgyzstan
BYST;BYST;75.72933;42.74846;1321.38509;1156575.937;4547152.716;4307920.247;Kyrgyzstan
CAR1;CAR1;68.10363;41.24454;276.18126;1791154.832;4456453.318;4183063.493;Kazakhstan
CAUV;CAUV;72.08964;40.19872;1054.56439;1500525.099;4642843.576;4095544.756;Kyrgyzstan
CEK4;CHEK;75.74998;40.68585;3597.29749;1192893.536;4697022.504;4138376.622;Kyrgyzstan
CET4;CHET;76.45031;42.08503;2267.01168;1111079.759;4610363.046;4254137.277;Kyrgyzstan
CET5;CHET;76.45037;42.08504;2265.34584;1111074.711;4610362.176;4254137.041;Kyrgyzstan
CHA4;CHAT;71.72084;42.01451;2902.86855;1489220.969;4508487.417;4248744.237;Kyrgyzstan
CHA5;CHAT;71.72089;42.01455;2902.84821;1489215.95;4508485.934;4248747.475;Kyrgyzstan
CHA6;CHAT;71.72089;42.01461;2901.85982;1489214.358;4508480.968;4248751.791;Kyrgyzstan
CHAK;CHAK;77.73898;41.52688;3204.56769;1016042.512;4675267.782;4208531.984;Kyrgyzstan
CHE4;CHEN;75.71087;42.45854;2962.48043;1163721.74;4569083.491;4285318.242;Kyrgyzstan
CHG4;CHGR;73.31674;40.24071;2454.47414;1400192.451;4672054.37;4100008.419;Kyrgyzstan
CHG5;CHGR;73.31674;40.24071;2454.50361;1400192.387;4672054.369;4100008.462;Kyrgyzstan
CHGR;CHGR;73.31675;40.24072;2454.47038;1400191.109;4672054.209;4100009.064;Kyrgyzstan
CHI5;CHI4;74.21166;41.07641;2260.79921;1310557.508;4635006.23;4170307.468;Kyrgyzstan
CHIA;CHIA;86.31274;50.64401;1249.18308;260683.6346;4045131.082;4909492.404;Russia
CHIR;CHI4;74.21167;41.07642;2260.82155;1310554.62;4635004.67;4170310.129;Kyrgyzstan
CHK4;CHAK;77.73883;41.52691;3204.16929;1016053.757;4675262.816;4208534.136;Kyrgyzstan
CHK5;CHAK;77.73887;41.52684;3206.78191;1016052.015;4675270.173;4208530.377;Kyrgyzstan
CHK6;CHAK;77.73881;41.52674;3210.92969;1016059.392;4675279.49;4208524.585;Kyrgyzstan
CHKT;CHKT;76.66648;42.05971;2099.58836;1094084.033;4616235.442;4251936.811;Kyrgyzstan
CHL4;CHLZ;77.84458;43.26711;2719.54892;979891.9892;4549310.468;4351020.915;Kazakhstan
CHL5;CHLZ;77.84446;43.2671;2720.11583;979901.2707;4549309.608;4351020.56;Kazakhstan
CHL6;CHLZ;77.84455;43.26712;2720.01007;979893.9745;4549309.31;4351022.349;Kazakhstan
CHLK;CHLK;78.37318;43.52911;712.08269;933553.262;4537134.44;4370797.295;Kazakhstan
CHLZ;CHLZ;77.84461;43.26711;2718.40425;979889.116;4549309.71;4351020.753;Kazakhstan
CHO4;CHOL;77.07493;42.71864;2475.32888;1050169.328;4576076.174;4306269.652;Kyrgyzstan
CHO5;CHOL;77.07365;42.71788;2474.93671;1050284.222;4576108.298;4306207.138;Kyrgyzstan
CHOK;CHOK;76.76754;42.64112;2004.49006;1075961.28;4575723.936;4299617.595;Kyrgyzstan
CHOL;CHOL;77.07382;42.71782;2469.28054;1050272.772;4576112.373;4306198.615;Kyrgyzstan
CHON;CHON;73.8022;42.42545;1966.32565;1315743.464;4529466.341;4281932.09;Kyrgyzstan
CHR4;CHRN;78.97553;43.27134;1021.50977;889610.6766;4566234.768;4350199.648;Kazakhstan
CHR5;CHRN;78.97553;43.27135;1021.79092;889610.2283;4566234.204;4350200.738;Kazakhstan
CHR6;CHRN;78.97555;43.27132;1020.03789;889609.0478;4566235.7;4350196.858;Kazakhstan
CHRN;CHRN;78.9755;43.27135;1020.90407;889613.3603;4566232.841;4350200.298;Kazakhstan
CHRT;CHRT;73.06647;42.49295;2088.10076;1372346.842;4507440.098;4287548.062;Kyrgyzstan
CHSH;CHSH;74.7511;42.9985;716.28511;1228950.719;4508079.891;4327868.475;Unknown
CHT4;CHTI;76.05169;41.33432;2640.53433;1156572.93;4656654.236;4192116.747;Kyrgyzstan
CHU0;CHU0;74.00147;43.42301;573.87167;1278896.255;4460472.33;4362148.05;Kazakhstan
CHU1;CHU0;74.00151;43.42305;574.20059;1278892.325;4460471.143;4362150.683;Kazakhstan
CHU4;CHU0;74.00149;43.42299;574.01132;1278895.096;4460474.437;4362146.219;Kazakhstan
CHU5;CHU0;74.00151;43.42305;574.20059;1278889.034;4460477.156;4362146.406;Kazakhstan
CHU6;CHU0;74.00151;43.42305;574.20059;1278889.417;4460475.263;4362148.301;Kazakhstan
CHUM;CHUM;74.7511;42.9985;716.33862;1228950.99;4508079.867;4327868.478;Kazakhstan
CHUM;CHUM;74.7511;42.9985;716.33862;1228950.99;4508079.867;4327868.478;Kazakhstan
CHUM;CHUM;74.7511;42.9985;716.33862;1228950.99;4508079.867;4327868.478;Kazakhstan
CHY4;CHYK;72.8748;41.96597;1072.6997;1398784.494;4539712.545;4243511.298;Kyrgyzstan
CHY5;CHYK;72.87482;41.96598;1073.25551;1398782.382;4539712.63;4243512.717;Kyrgyzstan
CHY6;CHYK;72.87485;41.96599;1073.785;1398779.734;4539712.932;4243514.042;Kyrgyzstan
CHYK;CHYK;72.87512;41.96619;1084.39214;1398757.169;4539713.271;4243537.014;Kyrgyzstan
CIR4;CIRC;69.66248;41.57558;791.18844;1660940.24;4481088.449;4210980.47;Uzbekistan
CKO4;CKO4;74.33594;42.94933;633.20145;1262572.221;4502583.957;4323814.697;Kyrgyzstan
CKO5;CKO4;74.33591;42.94932;633.13859;1262574.935;4502584.336;4323813.423;Kyrgyzstan
CKT4;CHKT;76.66648;42.05976;2100.53352;1094083.201;4616232.629;4251941.459;Kyrgyzstan
CKT5;CHKT;76.66645;42.05971;2099.05346;1094085.953;4616234.777;4251936.231;Kyrgyzstan
DACH;DACH;74.64266;42.78937;1072.85829;1241738.529;4521248.592;4311088.803;Kyrgyzstan
DAFN;DAFN;86.53451;44.07372;765.12089;277472.1095;4581936.751;4414514.038;China
DAL4;DALA;78.45726;43.1369;1565.27661;933003.305;4568409.626;4339682.817;Kazakhstan
DAL5;DALA;78.45724;43.13689;1565.36587;933004.9245;4568410.292;4339681.912;Kazakhstan
DAL6;DALA;78.45725;43.13693;1565.74613;933003.9544;4568407.908;4339685.16;Kazakhstan
DALA;DALA;78.4572;43.1369;1566.44373;933008.6153;4568409.892;4339682.857;Kazakhstan
DAR4;DARP;75.04128;40.78191;3105.68508;1249005.387;4674820.251;4146142.901;Kyrgyzstan
DAR5;DARP;75.04121;40.78187;3103.69527;1249011.93;4674820.312;4146137.808;Kyrgyzstan
DAR6;DARP;75.04121;40.78187;3103.4349;1249011.057;4674819.867;4146138.171;Kyrgyzstan
DARP;DARP;75.04128;40.78188;3104.39072;1249005.989;4674821.321;4146139.567;Kyrgyzstan
DART;DART;72.28602;39.57266;2701.08089;1498554.116;4691638.16;4043245.27;Kyrgyzstan
DAT4;DART;72.28604;39.57267;2701.45001;1498552.634;4691637.873;4043246.67;Kyrgyzstan
DAT5;DART;72.28602;39.57267;2701.55578;1498554.586;4691637.52;4043246.58;Kyrgyzstan
DEGE;DEGE;75.76603;43.245;1306.80386;1144409.486;4511411.426;4348264.065;Kazakhstan
DEN4;DENA;67.88029;38.23518;477.22506;1889002.453;4647454.336;3926279.572;Uzbekistan
DEN5;DENA;67.88024;38.23515;477.2098;1889007.552;4647454.219;3926277.256;Uzbekistan
DENA;DENA;67.88027;38.23517;477.44203;1889004.808;4647454.524;3926278.571;Uzbekistan
DHBA;DHBA;87.49799;43.74472;1053.25445;201504.2309;4611494.791;4388372.577;China
DJA4;DJAD;76.49788;41.24494;2707.96866;1121816.678;4671940.766;4184699.469;Kyrgyzstan
DJAD;DJAD;76.49789;41.24496;2707.53551;1121815.027;4671938.675;4184701.566;Kyrgyzstan
DJAN;DJAN;66.25136;38.33258;881.25585;2017776.944;4586038.968;3935016.527;Uzbekistan
DJD4;DJDK;71.79602;40.10848;1794.90946;1526493.879;4641770.287;4088361.446;Kyrgyzstan
DJD5;DJDK;71.79595;40.10851;1793.88874;1526498.653;4641765.16;4088363.869;Kyrgyzstan
DJDK;DJDK;71.796;40.10851;1794.71039;1526495.3;4641767.535;4088363.73;Kyrgyzstan
DJE4;DJEK;73.95618;41.89547;3049.86548;1314712.551;4571746.303;4239005.495;Kyrgyzstan
DJEK;DJEK;73.95619;41.89545;3049.86876;1314711.803;4571748.39;4239003.487;Kyrgyzstan
DJN4;DJAN;66.25132;38.33261;882.07536;2017779.076;4586035.811;3935020.409;Uzbekistan
DJN5;DJAN;66.25129;38.33259;881.94344;2017782.508;4586036.228;3935017.966;Uzbekistan
DJR4;DJRG;74.46918;40.98698;2913.6582;1291588.599;4647607.381;4163243.076;Kyrgyzstan
DNG4;DNGU;73.61939;40.92519;1410.47338;1361324.227;4631168.181;4157073.81;Kyrgyzstan
DNG5;DNGU;73.61939;40.92516;1410.81803;1361324.647;4631170.942;4157071.163;Kyrgyzstan
DNGU;DNGU;73.61927;40.92517;1410.25557;1361334.419;4631166.999;4157071.504;Kyrgyzstan
DOR4;DORD;79.87651;43.37961;1387.76342;816295.4216;4571795.165;4359202.543;Kazakhstan
DRB4;DRBL;69.12815;41.55198;406.77754;1703175.574;4466759.695;4208764.375;Kazakhstan
DSO4;DSO4;78.6677;43.43217;1083.29933;911728.428;4549404.291;4363237.345;Kazakhstan
DUK4;DUKA;70.08162;41.1021;1307.13185;1640083.732;4526139.262;4171837.082;Uzbekistan
DUKA;DUKA;70.08156;41.10214;1306.94536;1640087.177;4526134.822;4171840.304;Uzbekistan
DYU4;DYUD;74.36619;41.47566;2075.84008;1290127.844;4610211.143;4203521.626;Kyrgyzstan
DYU5;DYUD;74.3662;41.47567;2076.14744;1290126.481;4610210.78;4203522.907;Kyrgyzstan
DYU6;DYUD;74.36614;41.47563;2075.02488;1290131.491;4610211.495;4203518.908;Kyrgyzstan
DYUD;DYUD;74.36616;41.47564;2075.23848;1290130.291;4610211.286;4203519.871;Kyrgyzstan
DZHA;DZHA;77.17142;42.7235;2157.02628;1042328.023;4577253.66;4306450.446;Kyrgyzstan
EGA4;EGAR;76.36673;43.00534;2463.71705;1101539.213;4541675.439;4329615.935;Kazakhstan
EKS4;KEKS;76.74245;42.0698;2109.90862;1087791.787;4616958.831;4252775.591;Kyrgyzstan
ELB4;BELB;76.46824;41.8198;3326.31645;1114432.354;4630632.037;4232926.778;Kyrgyzstan
ELG4;BELG;74.21489;42.61791;1604.20508;1279080.298;4524660.482;4297448.619;Kyrgyzstan
ELS4;BELS;75.05128;42.62368;1729.57253;1212808.365;4542519.079;4298005.2;Kyrgyzstan
ELTS;ELTS;86.23872;53.26142;189.56442;250821.0924;3815282.574;5088151.128;Russia
